Observation
2.84
3.81
3.17
2.27
1.53
2.16
2.17
1.18
1.57
1.85
1.64
1.07
0.6
0.3
0.62
1.62
2.71
1.42
0.78
0.59
0.67
0.81
1.11
0.91
0.72
0.54
0.43
0.69
0.47
0.94
0.8
1.14
1.77
1.21
0.83
0.4
0.38
0.4
3.3
1.88
2.18
2.17
2.17
0.78
1.01
0.71
0.51
1.33
1.9
1.25
0.6
0.55
0.54
0.35
0.3
0.6
0.29
0.29
0.35
1.54
1.56
1.9
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
2.71
1.09
0.4
0.65
2.07
1.06
0.49
0.49
1.74
3.74
2.36
1.15
0.74
0.74
0.26
0.26
0.19
""
""
0.18
3.17
4.45
2.82
1.86
3.13
1.93
1.4
1.03
0.63
0.35
1.08
1.16
1.33
2.26
2.49
1.67
1.13
0.77
6.18
6.62
2.94
2.03
1.36
1.58
1.7
1.02
0.92
0.97
0.96
1.6
0.95
0.66
0.35
0.37
1.32
0.95
0.64
0.66
0.39
0.39
0.26
0.2
0.19
0.37
0.82
1.19
2.29
1.75
0.89
1.61
2.87
3.23
2.97
2.82
2
1.1
0.83
0.98
1.1
1.28
1.72
1.06
0.5
1.12
0.94
0.6
0.22
0.44
0.22
0.8
2.27
0.86
0.39
0.42
0.22
0.22
0.35
0.23
0.22
0.27
0.6
1.04
1.75
1.98
2.01
2.69
2.37
2.3
1.71
1
1.24
2.09
2.47
2.06
1.27
0.76
0.6
0.65
1.38
1.66
1.01
0.61
