Observation
2.05
1.12
0.91
0.91
0.91
0.56
""
""
""
""
""
""
""
1.06
1.01
0.78
1.06
0.66
""
""
""
""
""
""
""
""
""
""
""
""
""
0.7
0.51
0.75
0.5
0.38
0.38
0.59
0.59
0.49
0.49
0.48
0.83
0.77
0.53
0.53
0.61
0.49
0.58
1.02
0.92
